Epoch 0233/2100 | Loss 0.06172 | Score: -7.0 | Epsilon=0.0889 (train=True)
Epoch 0234/2100 | Loss 0.06246 | Score: -6.0 | Epsilon=0.0889 (train=True)
Epoch 0235/2100 | Loss 0.07253 | Score: -6.0 | Epsilon=0.0888 (train=True)
Epoch 0236/2100 | Loss 0.08360 | Score: -7.0 | Epsilon=0.0888 (train=True)
Epoch 0237/2100 | Loss 0.06447 | Score: -5.0 | Epsilon=0.0887 (train=True)
Epoch 0238/2100 | Loss 0.07173 | Score: -2.0 | Epsilon=0.0887 (train=True)
Epoch 0239/2100 | Loss 0.07607 | Score: -3.0 | Epsilon=0.0886 (train=True)
Epoch 0240/2100 | Loss 0.06877 | Score: -6.0 | Epsilon=0.0886 (train=True)
Epoch 0241/2100 | Loss 0.06634 | Score: -4.0 | Epsilon=0.0885 (train=True)
Epoch 0242/2100 | Loss 0.07083 | Score: -7.0 | Epsilon=0.0885 (train=True)
Epoch 0243/2100 | Loss 0.07679 | Score: -6.0 | Epsilon=0.0884 (train=True)
Epoch 0244/2100 | Loss 0.06901 | Score: -5.0 | Epsilon=0.0884 (train=True)
Epoch 0245/2100 | Loss 0.07174 | Score: -6.0 | Epsilon=0.0883 (train=True)
Epoch 0246/2100 | Loss 0.05976 | Score: -8.0 | Epsilon=0.0883 (train=True)
Epoch 0247/2100 | Loss 0.07334 | Score: -8.0 | Epsilon=0.0882 (train=True)
Epoch 0248/2100 | Loss 0.06867 | Score: -2.0 | Epsilon=0.0882 (train=True)
Epoch 0249/2100 | Loss 0.06102 | Score: -8.0 | Epsilon=0.0882 (train=True)
Epoch 0250/2100 | Loss 0.07424 | Score: -7.0 | Epsilon=0.0881 (train=True)
Epoch 0251/2100 | Loss 0.06075 | Score: -6.0 | Epsilon=0.0881 (train=True)
Epoch 0252/2100 | Loss 0.09114 | Score: -8.0 | Epsilon=0.0880 (train=True)
Epoch 0253/2100 | Loss 0.06556 | Score: -7.0 | Epsilon=0.0880 (train=True)
Epoch 0254/2100 | Loss 0.07248 | Score: -7.0 | Epsilon=0.0879 (train=True)
Epoch 0255/2100 | Loss 0.07057 | Score: -6.0 | Epsilon=0.0879 (train=True)
Epoch 0256/2100 | Loss 0.06660 | Score: -8.0 | Epsilon=0.0878 (train=True)
Epoch 0257/2100 | Loss 0.06523 | Score: -6.0 | Epsilon=0.0878 (train=True)
Epoch 0258/2100 | Loss 0.06155 | Score: -3.0 | Epsilon=0.0877 (train=True)
Epoch 0259/2100 | Loss 0.07451 | Score: -3.0 | Epsilon=0.0877 (train=True)
Epoch 0260/2100 | Loss 0.07353 | Score: -7.0 | Epsilon=0.0876 (train=True)
Epoch 0261/2100 | Loss 0.06938 | Score: -8.0 | Epsilon=0.0876 (train=True)
Epoch 0262/2100 | Loss 0.06531 | Score: -8.0 | Epsilon=0.0875 (train=True)
Epoch 0263/2100 | Loss 0.05823 | Score: -6.0 | Epsilon=0.0875 (train=True)
Epoch 0264/2100 | Loss 0.08753 | Score: -8.0 | Epsilon=0.0874 (train=True)
Epoch 0265/2100 | Loss 0.06529 | Score: -8.0 | Epsilon=0.0874 (train=True)
Epoch 0266/2100 | Loss 0.05735 | Score: -8.0 | Epsilon=0.0873 (train=True)
Epoch 0267/2100 | Loss 0.06167 | Score: -6.0 | Epsilon=0.0873 (train=True)
Epoch 0268/2100 | Loss 0.06131 | Score: -7.0 | Epsilon=0.0873 (train=True)
Epoch 0269/2100 | Loss 0.07293 | Score: -7.0 | Epsilon=0.0872 (train=True)
Epoch 0270/2100 | Loss 0.05790 | Score: -5.0 | Epsilon=0.0872 (train=True)
Epoch 0271/2100 | Loss 0.08379 | Score: -7.0 | Epsilon=0.0871 (train=True)
Epoch 0272/2100 | Loss 0.07938 | Score: -8.0 | Epsilon=0.0871 (train=True)
Epoch 0273/2100 | Loss 0.08144 | Score: -7.0 | Epsilon=0.0870 (train=True)
Epoch 0274/2100 | Loss 0.06476 | Score: -8.0 | Epsilon=0.0870 (train=True)
Epoch 0275/2100 | Loss 0.06865 | Score: -8.0 | Epsilon=0.0869 (train=True)
Epoch 0276/2100 | Loss 0.07411 | Score: -5.0 | Epsilon=0.0869 (train=True)
Epoch 0277/2100 | Loss 0.06713 | Score: -2.0 | Epsilon=0.0868 (train=True)
Epoch 0278/2100 | Loss 0.07132 | Score: -5.0 | Epsilon=0.0868 (train=True)
Epoch 0279/2100 | Loss 0.07781 | Score: -7.0 | Epsilon=0.0867 (train=True)
Epoch 0280/2100 | Loss 0.06817 | Score: -6.0 | Epsilon=0.0867 (train=True)
